state,party,finance.better,child.indep,child.curio,child.obed,child.consid,year,Religion,President
34,1,2,5,3,3,1,2000,NA,Al Gore
51,5,NA,5,5,1,5,2000,Protestant,George W. Bush
1,1,3,5,5,1,1,2000,NA,Al Gore
1,1,NA,5,5,1,3,2000,Protestant,NA
53,5,NA,5,5,1,1,2000,NA,George W. Bush
53,2,3,5,5,1,5,2000,NA,NA
19,1,2,5,5,5,1,2000,NA,Al Gore
19,2,NA,5,3,1,1,2000,Other Religion,George W. Bush
19,2,3,5,1,5,1,2000,NA,George W. Bush
19,3,NA,1,1,5,1,2000,NA,Al Gore
5,3,NA,NA,NA,NA,NA,2000,NA,NA
41,3,3,1,1,5,1,2000,NA,Ralph Nader
53,3,NA,5,3,3,3,2000,Catholic,NA
49,2,NA,NA,NA,NA,NA,2000,NA,NA
49,2,NA,5,1,1,1,2000,NA,George W. Bush
49,1,3,3,1,3,1,2000,NA,Al Gore
34,1,NA,5,5,3,5,2000,NA,Al Gore
34,2,NA,3,3,3,3,2000,NA,George W. Bush
34,2,2,3,5,1,5,2000,Catholic,NA
13,1,NA,5,5,1,5,2000,NA,NA
1,2,NA,5,5,5,5,2000,NA,George W. Bush
41,2,3,5,5,1,5,2000,NA,NA
41,1,3,1,1,5,1,2000,Jewish,Al Gore
17,1,2,5,5,1,5,2000,NA,Al Gore
29,3,NA,NA,NA,NA,NA,2000,NA,NA
29,2,3,5,5,1,1,2000,Catholic,George W. Bush
17,1,3,1,1,5,1,2000,NA,Al Gore
6,NA,NA,5,5,1,1,2000,NA,NA
6,3,NA,5,5,5,3,2000,NA,Al Gore
25,2,3,5,5,1,5,2000,NA,George W. Bush
33,3,NA,NA,NA,NA,NA,2000,NA,NA
33,3,2,5,5,5,1,2000,NA,Al Gore
41,3,3,1,1,5,1,2000,NA,Al Gore
6,1,NA,NA,NA,NA,NA,2000,NA,NA
6,2,3,1,1,5,5,2000,NA,George W. Bush
6,2,NA,NA,NA,NA,NA,2000,NA,NA
49,5,NA,NA,NA,NA,NA,2000,NA,NA
49,5,NA,3,3,3,3,2000,Catholic,NA
49,1,NA,3,5,3,3,2000,NA,NA
34,5,NA,NA,NA,NA,NA,2000,NA,NA
25,5,2,5,5,1,1,2000,NA,NA
25,3,5,5,3,3,3,2000,Catholic,NA
25,3,3,5,5,3,3,2000,NA,NA
8,3,1,5,1,5,1,2000,NA,Ralph Nader
8,3,NA,1,3,5,1,2000,NA,NA
26,1,2,1,5,1,5,2000,NA,Al Gore
48,2,NA,NA,NA,NA,NA,2000,NA,NA
6,3,NA,3,3,3,1,2000,NA,Al Gore
36,5,NA,1,1,1,5,2000,Catholic,NA
27,3,2,5,5,3,1,2000,Protestant,George W. Bush
19,1,3,3,3,5,1,2000,NA,Al Gore
55,1,3,3,3,3,3,2000,NA,Al Gore
27,1,1,5,3,1,3,2000,Other Religion,Al Gore
55,1,3,5,5,1,5,2000,NA,NA
26,5,NA,1,1,5,5,2000,NA,Al Gore
26,2,NA,NA,NA,NA,NA,2000,NA,NA
26,3,NA,5,1,5,1,2000,NA,Pat Buchanan
34,3,NA,5,3,3,3,2000,Other Religion,George W. Bush
25,2,3,5,5,1,5,2000,NA,George W. Bush
25,5,2,5,5,1,3,2000,NA,NA
25,1,NA,3,5,1,5,2000,Catholic,NA
49,2,2,5,5,5,1,2000,NA,NA
34,1,NA,3,1,3,3,2000,NA,George W. Bush
48,1,4,5,5,1,1,2000,NA,Al Gore
48,1,NA,5,5,1,5,2000,NA,Al Gore
48,1,NA,3,3,3,3,2000,NA,NA
42,1,NA,3,3,3,3,2000,NA,Al Gore
42,2,3,5,3,1,3,2000,NA,George W. Bush
39,1,2,5,5,1,1,2000,NA,Al Gore
39,1,NA,3,5,1,5,2000,Catholic,Al Gore
6,2,NA,1,1,5,1,2000,Protestant,George W. Bush
6,1,3,5,3,3,3,2000,Jewish,Al Gore
51,3,NA,5,5,1,5,2000,NA,NA
51,2,NA,5,1,1,1,2000,NA,George W. Bush
51,3,4,5,1,5,1,2000,NA,Ralph Nader
26,2,NA,5,5,5,1,2000,NA,George W. Bush
6,3,NA,NA,NA,NA,NA,2000,NA,NA
6,1,NA,5,5,5,1,2000,NA,Al Gore
6,1,2,1,5,1,1,2000,NA,Al Gore
6,5,NA,5,5,1,1,2000,NA,NA
27,1,3,5,5,1,3,2000,NA,Al Gore
6,2,3,5,1,5,1,2000,NA,Al Gore
6,2,NA,5,5,1,5,2000,NA,George W. Bush
6,2,NA,5,5,5,5,2000,NA,George W. Bush
6,2,NA,5,5,1,5,2000,NA,NA
6,2,3,5,1,1,1,2000,NA,George W. Bush
6,2,NA,5,3,5,1,2000,NA,George W. Bush
6,5,NA,5,1,5,1,2000,NA,NA
6,1,NA,5,3,5,3,2000,NA,Al Gore
6,2,4,5,1,5,1,2000,NA,George W. Bush
42,2,NA,1,1,5,1,2000,NA,George W. Bush
34,3,2,3,3,3,3,2000,NA,Al Gore
48,5,3,3,3,3,3,2000,Catholic,George W. Bush
48,5,2,1,1,5,1,2000,NA,George W. Bush
48,1,NA,5,5,1,3,2000,Protestant,NA
48,1,NA,NA,NA,NA,NA,2000,NA,NA
48,2,NA,5,5,1,5,2000,NA,George W. Bush
48,1,NA,1,5,5,1,2000,NA,Al Gore
26,2,NA,5,5,1,3,2000,NA,Al Gore
26,NA,NA,5,5,1,5,2000,Catholic,NA
26,5,3,5,5,1,5,2000,NA,NA
48,3,NA,5,5,1,1,2000,Protestant,NA
48,2,3,1,5,5,1,2000,NA,George W. Bush
48,1,3,5,5,1,1,2000,NA,Al Gore
18,1,NA,5,5,1,1,2000,NA,Al Gore
18,3,NA,5,5,1,5,2000,NA,George W. Bush
18,3,NA,NA,NA,NA,NA,2000,NA,NA
18,3,NA,5,5,1,1,2000,NA,George W. Bush
48,3,NA,5,3,1,1,2000,NA,Al Gore
48,4,2,5,1,5,1,2000,NA,Ralph Nader
48,5,2,5,5,1,5,2000,NA,George W. Bush
48,5,3,1,3,3,3,2000,NA,NA
36,2,3,5,5,1,5,2000,Protestant,George W. Bush
27,3,2,5,1,1,1,2000,NA,Al Gore
36,1,NA,5,5,NA,1,2000,NA,Al Gore
36,2,3,5,5,1,5,2000,Catholic,Ralph Nader
18,3,NA,1,5,1,5,2000,NA,NA
18,5,4,1,1,5,1,2000,NA,Harry Brown
18,2,NA,5,5,1,5,2000,NA,George W. Bush
18,3,3,5,5,1,3,2000,NA,George W. Bush
18,3,2,5,3,1,3,2000,NA,George W. Bush
27,5,NA,NA,NA,NA,NA,2000,NA,NA
36,1,NA,5,5,1,1,2000,NA,Al Gore
1,2,NA,3,3,5,3,2000,Protestant,George W. Bush
51,2,3,5,3,1,1,2000,NA,George W. Bush
51,1,NA,NA,NA,NA,NA,2000,NA,NA
1,3,NA,5,5,1,5,2000,NA,George W. Bush
12,5,NA,1,5,5,5,2000,NA,NA
12,5,1,5,5,1,1,2000,Protestant,NA
12,3,NA,5,5,1,1,2000,Protestant,NA
12,3,NA,NA,NA,NA,NA,2000,NA,NA
24,1,2,5,5,1,5,2000,Other Religion,Al Gore
24,1,NA,5,1,1,1,2000,NA,Al Gore
24,1,NA,5,1,1,1,2000,NA,Al Gore
51,1,3,3,3,1,3,2000,NA,Al Gore
33,1,3,5,1,1,1,2000,NA,Al Gore
25,3,2,5,5,1,5,2000,NA,George W. Bush
33,2,2,1,1,5,1,2000,NA,George W. Bush
55,2,3,5,5,1,5,2000,NA,George W. Bush
49,2,3,1,1,5,3,2000,NA,George W. Bush
48,1,NA,NA,NA,NA,NA,2000,NA,NA
48,1,3,5,3,1,3,2000,NA,NA
48,5,NA,5,1,1,1,2000,Other Religion,NA
48,1,NA,NA,NA,NA,NA,2000,NA,NA
48,3,NA,3,5,1,3,2000,NA,NA
18,1,NA,5,5,5,5,2000,Catholic,Al Gore
18,1,NA,5,5,1,5,2000,NA,NA
36,5,3,5,5,1,5,2000,NA,NA
36,3,NA,NA,NA,NA,NA,2000,NA,NA
36,5,NA,3,3,5,3,2000,NA,NA
18,1,NA,NA,NA,NA,NA,2000,NA,NA
18,3,NA,3,3,3,3,2000,NA,George W. Bush
18,5,NA,NA,NA,NA,NA,2000,NA,NA
18,3,NA,5,1,5,1,2000,Protestant,NA
1,2,3,5,5,1,5,2000,NA,Al Gore
1,1,3,5,5,1,5,2000,Protestant,NA
1,1,NA,5,5,1,5,2000,NA,Al Gore
1,1,NA,NA,NA,NA,NA,2000,NA,NA
1,1,3,5,5,1,5,2000,NA,Al Gore
1,3,NA,3,3,3,3,2000,NA,George W. Bush
54,1,3,5,5,1,5,2000,NA,Al Gore
1,1,3,5,5,1,5,2000,Other Religion,NA
18,1,NA,5,5,1,1,2000,NA,NA
18,2,NA,NA,NA,NA,NA,2000,NA,NA
18,1,NA,5,3,1,3,2000,NA,NA
51,3,NA,1,1,5,1,2000,NA,Al Gore
51,1,NA,5,3,3,3,2000,NA,Al Gore
51,3,NA,1,1,5,1,2000,NA,Al Gore
42,1,NA,NA,NA,NA,NA,2000,NA,NA
48,2,NA,1,5,5,5,2000,NA,George W. Bush
48,1,NA,5,5,1,1,2000,NA,Al Gore
48,1,NA,5,5,1,5,2000,NA,Al Gore
48,5,2,5,5,5,5,2000,Catholic,Al Gore
25,1,NA,5,5,5,1,2000,NA,Al Gore
48,1,NA,1,1,5,1,2000,NA,Al Gore
8,1,NA,5,5,1,5,2000,NA,Al Gore
4,2,NA,5,3,1,3,2000,NA,NA
39,2,NA,5,5,5,1,2000,NA,George W. Bush
18,2,1,5,5,1,5,2000,NA,George W. Bush
12,5,1,3,3,1,3,2000,NA,Al Gore
39,3,3,5,3,1,3,2000,NA,Al Gore
13,1,NA,3,3,3,3,2000,NA,Al Gore
32,1,NA,3,3,5,3,2000,NA,Al Gore
28,5,NA,5,5,1,1,2000,NA,George W. Bush
26,1,NA,3,3,5,1,2000,NA,Al Gore
26,5,1,1,1,1,1,2000,NA,Al Gore
17,1,2,3,3,3,3,2000,NA,Al Gore
51,1,NA,5,5,5,1,2000,NA,Al Gore
6,3,3,5,1,1,1,2000,NA,Al Gore
9,3,3,3,3,3,3,2000,NA,George W. Bush
26,1,1,1,5,5,1,2000,NA,Al Gore
48,5,NA,5,5,1,3,2000,NA,George W. Bush
6,1,NA,1,1,5,3,2000,NA,Al Gore
8,2,2,5,5,1,1,2000,NA,George W. Bush
41,1,NA,1,1,5,1,2000,NA,Al Gore
21,2,NA,5,5,5,5,2000,Protestant,George W. Bush
51,3,3,5,1,1,5,2000,NA,George W. Bush
17,5,NA,5,5,1,1,2000,NA,Al Gore
17,3,NA,5,5,5,1,2000,NA,Al Gore
6,3,NA,3,5,1,3,2000,NA,NA
47,1,NA,5,5,1,1,2000,Other Religion,NA
47,3,NA,5,5,1,5,2000,NA,George W. Bush
42,3,NA,5,5,5,5,2000,Other Religion,NA
47,3,4,5,5,5,5,2000,NA,George W. Bush
35,3,3,5,5,1,1,2000,NA,Ralph Nader
12,1,NA,NA,NA,NA,NA,2000,NA,NA
12,3,2,1,1,5,5,2000,Protestant,Ralph Nader
45,2,NA,3,1,5,1,2000,NA,George W. Bush
47,2,NA,NA,NA,NA,NA,2000,NA,NA
12,5,2,5,3,1,1,2000,NA,Al Gore
12,3,NA,5,1,5,1,2000,Catholic,Al Gore
53,1,1,5,5,5,1,2000,Protestant,Al Gore
17,1,NA,5,5,1,5,2000,NA,Al Gore
12,2,4,5,1,1,1,2000,Protestant,George W. Bush
12,4,NA,1,1,5,1,2000,NA,Al Gore
37,1,3,5,5,5,1,2000,Protestant,Al Gore
24,3,2,1,5,1,5,2000,NA,George W. Bush
37,5,2,5,5,1,1,2000,NA,NA
51,1,NA,3,3,3,1,2000,NA,Al Gore
37,1,3,5,1,1,1,2000,NA,Al Gore
36,1,3,5,5,5,5,2000,Catholic,NA
34,2,3,5,1,5,1,2000,NA,George W. Bush
36,3,NA,3,5,1,3,2000,Protestant,NA
42,2,3,5,5,1,5,2000,NA,George W. Bush
9,2,NA,5,5,1,5,2000,NA,Ralph Nader
26,2,3,3,3,3,3,2000,NA,George W. Bush
31,3,NA,5,5,1,1,2000,NA,Al Gore
29,3,3,5,5,1,5,2000,NA,Al Gore
36,2,NA,5,5,1,1,2000,NA,Al Gore
36,3,NA,5,5,1,1,2000,NA,NA
13,5,3,5,5,1,1,2000,NA,George W. Bush
45,2,NA,5,5,1,5,2000,Catholic,George W. Bush
55,3,2,5,5,1,1,2000,NA,Ralph Nader
27,3,5,5,1,5,1,2000,NA,NA
8,3,1,5,1,5,1,2000,NA,George W. Bush
48,1,3,5,5,5,5,2000,NA,Al Gore
51,5,3,5,5,5,1,2000,Protestant,NA
51,3,3,1,1,5,5,2000,NA,Ralph Nader
51,1,2,5,5,1,3,2000,Other Religion,Al Gore
51,5,3,5,1,1,1,2000,NA,NA
51,2,3,1,5,1,1,2000,NA,George W. Bush
13,1,NA,1,1,1,1,2000,NA,Al Gore
13,3,NA,NA,NA,NA,NA,2000,NA,NA
1,2,NA,5,5,1,1,2000,NA,George W. Bush
34,1,NA,3,5,3,3,2000,NA,Al Gore
22,2,2,5,5,1,5,2000,NA,George W. Bush
6,2,3,3,5,3,3,2000,Other Religion,NA
35,3,NA,5,5,5,3,2000,Protestant,NA
48,5,3,5,5,1,5,2000,NA,George W. Bush
37,1,NA,NA,NA,NA,NA,2000,NA,NA
41,1,NA,5,5,5,1,2000,Catholic,Al Gore
51,3,NA,1,1,5,1,2000,NA,NA
51,3,NA,NA,NA,NA,NA,2000,NA,NA
51,1,NA,5,1,5,1,2000,NA,Al Gore
39,2,3,5,5,5,5,2000,NA,George W. Bush
24,1,NA,5,5,5,1,2000,NA,George W. Bush
39,1,NA,NA,NA,NA,NA,2000,NA,NA
21,1,NA,5,5,1,5,2000,NA,George W. Bush
6,2,3,5,5,1,1,2000,NA,George W. Bush
6,1,3,3,3,3,3,2000,Catholic,Al Gore
6,3,3,5,1,5,5,2000,NA,George W. Bush
6,1,3,5,5,1,1,2000,Catholic,Al Gore
6,2,NA,5,1,5,1,2000,NA,George W. Bush
6,1,NA,5,1,1,5,2000,NA,Al Gore
6,2,NA,5,5,1,1,2000,NA,Al Gore
6,3,1,5,5,1,5,2000,Catholic,NA
51,2,4,5,5,1,5,2000,NA,George W. Bush
36,1,NA,NA,NA,NA,NA,2000,NA,NA
26,3,1,5,5,1,1,2000,NA,Al Gore
48,3,NA,NA,NA,NA,NA,2000,NA,NA
48,2,NA,1,1,5,1,2000,NA,George W. Bush
39,3,2,3,3,3,3,2000,NA,Al Gore
39,2,NA,5,5,1,1,2000,NA,George W. Bush
39,1,NA,5,3,1,3,2000,NA,NA
36,1,NA,NA,NA,NA,NA,2000,NA,NA
36,1,NA,3,3,3,3,2000,NA,NA
36,3,NA,5,1,1,1,2000,NA,Al Gore
36,1,3,5,1,5,1,2000,NA,NA
36,1,NA,3,3,3,3,2000,Jewish,Al Gore
36,2,1,5,5,1,3,2000,NA,George W. Bush
39,3,NA,1,1,1,1,2000,NA,Al Gore
39,1,NA,1,5,1,5,2000,Protestant,Al Gore
26,3,3,3,3,3,3,2000,Other Religion,Al Gore
39,3,NA,5,5,1,1,2000,NA,NA
39,3,NA,NA,NA,NA,NA,2000,Other Religion,NA
39,5,NA,NA,NA,NA,NA,2000,NA,NA
39,2,NA,NA,NA,NA,NA,2000,NA,NA
39,2,NA,5,1,1,1,2000,NA,George W. Bush
39,1,NA,NA,NA,NA,NA,2000,Catholic,NA
39,2,2,5,5,1,1,2000,Catholic,George W. Bush
36,4,NA,5,5,5,3,2000,Catholic,George W. Bush
36,2,3,5,5,1,1,2000,NA,George W. Bush
36,2,NA,5,5,1,5,2000,NA,NA
36,3,3,5,5,5,1,2000,Other Religion,Al Gore
36,1,NA,5,5,5,5,2000,Protestant,Al Gore
36,5,NA,5,5,1,1,2000,NA,George W. Bush
36,3,NA,NA,NA,NA,NA,2000,NA,NA
34,5,2,5,5,1,5,2000,Catholic,NA
42,5,2,5,1,5,5,2000,NA,NA
42,2,3,3,3,3,1,2000,NA,George W. Bush
42,1,2,5,3,3,1,2000,Catholic,Al Gore
42,3,NA,5,5,3,1,2000,NA,George W. Bush
36,1,NA,1,5,5,3,2000,NA,George W. Bush
47,2,NA,5,3,5,3,2000,NA,George W. Bush
36,2,NA,5,3,1,5,2000,NA,George W. Bush
39,1,2,5,3,3,3,2000,NA,Al Gore
39,1,2,5,5,5,5,2000,NA,Al Gore
39,1,4,5,5,1,1,2000,NA,Al Gore
25,5,NA,NA,NA,NA,NA,2000,NA,NA
25,3,3,5,5,1,3,2000,NA,NA
25,2,NA,5,5,1,1,2000,NA,George W. Bush
25,3,3,5,5,1,3,2000,NA,George W. Bush
6,3,NA,5,5,1,5,2000,NA,George W. Bush
6,2,NA,5,5,1,1,2000,NA,George W. Bush
19,3,3,5,5,1,5,2000,NA,NA
19,3,1,5,1,5,1,2000,NA,Al Gore
5,1,3,5,5,1,5,2000,NA,NA
5,1,NA,5,5,1,5,2000,NA,NA
5,5,NA,5,5,1,5,2000,NA,NA
1,2,3,5,5,5,1,2000,NA,NA
8,5,NA,5,3,1,3,2000,NA,NA
8,3,NA,NA,NA,NA,NA,2000,NA,NA
25,1,NA,5,3,1,3,2000,NA,Al Gore
25,3,NA,1,1,3,1,2000,NA,George W. Bush
22,1,3,1,5,1,5,2000,NA,Al Gore
22,1,NA,NA,NA,NA,NA,2000,NA,NA
22,1,NA,5,5,1,5,2000,NA,NA
22,1,NA,5,5,1,5,2000,NA,Al Gore
22,1,2,5,1,3,1,2000,NA,Al Gore
22,2,3,5,3,3,1,2000,NA,George W. Bush
22,2,NA,5,5,1,5,2000,NA,NA
39,1,NA,5,5,5,1,2000,Protestant,Al Gore
39,3,1,5,5,1,1,2000,NA,George W. Bush
39,1,3,5,5,1,1,2000,NA,Al Gore
6,1,NA,NA,NA,NA,NA,2000,NA,NA
55,1,3,1,5,1,1,2000,NA,Al Gore
55,3,4,5,1,5,1,2000,NA,Ralph Nader
55,2,2,5,1,1,1,2000,NA,George W. Bush
36,1,2,5,1,1,5,2000,NA,George W. Bush
36,1,3,5,3,1,5,2000,NA,Al Gore
27,5,NA,5,1,5,1,2000,NA,George W. Bush
27,1,3,1,5,1,1,2000,NA,Al Gore
5,1,NA,NA,NA,NA,NA,2000,NA,NA
5,2,NA,3,3,3,3,2000,NA,George W. Bush
5,3,4,5,3,3,3,2000,NA,George W. Bush
36,2,NA,5,5,1,1,2000,NA,George W. Bush
22,3,2,5,5,1,5,2000,NA,Al Gore
22,2,NA,5,5,1,1,2000,NA,Al Gore
12,1,NA,5,5,5,5,2000,NA,NA
12,2,NA,5,5,1,3,2000,NA,George W. Bush
12,1,NA,1,1,5,1,2000,Other Religion,Al Gore
22,1,3,5,5,1,1,2000,NA,Al Gore
22,2,NA,5,5,1,3,2000,NA,George W. Bush
24,1,NA,5,5,1,5,2000,NA,Al Gore
24,3,4,5,5,1,5,2000,NA,NA
24,1,3,1,1,5,1,2000,NA,Al Gore
24,1,3,5,5,1,3,2000,NA,Al Gore
6,3,NA,5,5,1,5,2000,Other Religion,NA
6,3,NA,5,5,1,1,2000,Other Religion,NA
6,1,NA,NA,NA,NA,NA,2000,NA,NA
6,1,NA,5,5,3,5,2000,NA,NA
51,2,NA,5,5,1,1,2000,NA,George W. Bush
27,5,NA,5,5,5,1,2000,NA,NA
27,2,NA,5,5,1,5,2000,NA,George W. Bush
27,1,3,5,5,5,1,2000,NA,Al Gore
8,1,NA,5,1,1,1,2000,Catholic,NA
8,1,NA,5,5,1,5,2000,NA,Al Gore
8,1,1,5,5,1,1,2000,NA,NA
8,3,NA,5,1,5,1,2000,NA,George W. Bush
51,1,3,5,1,5,1,2000,NA,Al Gore
51,3,3,5,3,3,3,2000,NA,NA
51,3,NA,1,5,1,5,2000,Other Religion,NA
51,1,NA,NA,NA,NA,NA,2000,Protestant,NA
12,3,5,5,5,1,1,2000,Catholic,NA
12,1,2,5,1,1,1,2000,NA,NA
12,3,2,3,1,3,3,2000,NA,NA
12,3,3,5,1,1,5,2000,NA,NA
12,2,5,5,1,5,1,2000,NA,NA
5,3,NA,3,3,1,3,2000,NA,Al Gore
5,3,NA,5,5,1,5,2000,Other Religion,NA
12,1,NA,3,5,3,3,2000,NA,Al Gore
25,1,2,5,1,5,1,2000,NA,Al Gore
25,2,NA,1,1,5,5,2000,NA,George W. Bush
25,3,NA,5,3,1,3,2000,NA,Al Gore
25,3,NA,NA,NA,NA,NA,2000,Protestant,NA
49,3,NA,NA,NA,NA,NA,2000,Other Religion,NA
49,3,NA,3,3,3,3,2000,NA,NA
5,1,3,5,5,1,5,2000,NA,Al Gore
5,1,NA,5,5,1,5,2000,NA,Al Gore
5,1,3,3,5,3,3,2000,Other Religion,Al Gore
5,1,NA,NA,NA,NA,NA,2000,Other Religion,NA
5,1,NA,5,1,1,5,2000,NA,Al Gore
49,1,NA,NA,NA,NA,NA,2000,NA,NA
49,3,NA,1,1,5,1,2000,NA,NA
55,3,NA,5,5,1,1,2000,Jewish,Al Gore
55,1,3,5,5,5,1,2000,NA,Al Gore
55,1,3,3,5,1,3,2000,NA,Al Gore
1,1,3,1,5,1,1,2000,NA,Al Gore
1,1,3,5,5,1,5,2000,NA,NA
1,1,2,5,1,5,1,2000,NA,Al Gore
39,3,3,5,5,1,1,2000,NA,NA
39,2,NA,5,5,1,5,2000,NA,George W. Bush
39,1,NA,NA,NA,NA,NA,2000,NA,NA
39,3,NA,5,3,3,3,2000,NA,NA
11,3,2,5,5,5,5,2000,NA,Al Gore
1,5,3,5,5,1,5,2000,NA,NA
1,2,3,5,5,1,1,2000,NA,George W. Bush
1,2,NA,NA,NA,NA,NA,2000,NA,NA
6,5,NA,5,1,1,3,2000,Catholic,Al Gore
24,2,2,5,5,5,1,2000,NA,Al Gore
24,1,NA,5,1,1,1,2000,NA,Al Gore
51,5,NA,5,5,1,1,2000,NA,George W. Bush
11,1,1,3,5,1,5,2000,NA,Al Gore
26,1,NA,5,5,1,3,2000,NA,Al Gore
26,5,NA,5,3,5,1,2000,NA,George W. Bush
26,5,NA,5,5,1,5,2000,NA,George W. Bush
26,5,NA,5,5,1,5,2000,NA,NA
26,5,1,5,5,5,3,2000,NA,George W. Bush
8,3,1,1,1,5,1,2000,Protestant,George W. Bush
8,1,NA,NA,NA,NA,NA,2000,NA,NA
1,3,5,5,5,1,1,2000,NA,Al Gore
1,5,NA,5,5,1,5,2000,NA,George W. Bush
1,3,3,5,5,1,5,2000,NA,NA
27,1,NA,5,5,1,1,2000,NA,Al Gore
27,1,NA,5,5,1,1,2000,NA,Al Gore
27,1,NA,5,5,1,1,2000,NA,Al Gore
27,3,NA,5,5,1,5,2000,NA,Al Gore
1,1,2,5,5,1,5,2000,NA,Al Gore
1,3,NA,1,5,1,5,2000,NA,Al Gore
55,1,3,5,1,5,1,2000,NA,Al Gore
55,3,NA,5,1,1,1,2000,NA,George W. Bush
55,2,NA,5,5,1,5,2000,NA,George W. Bush
55,1,3,5,1,5,1,2000,Protestant,NA
55,3,NA,5,5,1,1,2000,NA,NA
55,4,NA,3,3,3,3,2000,NA,Al Gore
1,3,NA,5,5,1,5,2000,Protestant,NA
24,3,NA,NA,NA,NA,NA,2000,Other Religion,NA
5,3,2,5,5,3,3,2000,Protestant,NA
5,2,5,5,5,5,1,2000,NA,Al Gore
1,1,NA,5,5,1,5,2000,NA,Al Gore
29,3,3,5,5,1,1,2000,NA,George W. Bush
29,1,3,1,1,5,1,2000,NA,George W. Bush
29,2,NA,5,1,1,1,2000,NA,George W. Bush
6,1,3,5,1,3,1,2000,Jewish,Al Gore
6,1,NA,5,1,5,1,2000,NA,NA
1,1,2,3,3,3,3,2000,NA,Al Gore
48,3,NA,5,5,1,5,2000,Protestant,NA
48,3,2,5,5,1,1,2000,NA,NA
48,1,3,3,3,1,5,2000,NA,Al Gore
48,4,NA,NA,NA,NA,NA,2000,NA,NA
48,2,3,5,5,1,3,2000,NA,George W. Bush
25,5,NA,3,5,5,1,2000,Catholic,NA
25,5,3,5,1,1,1,2000,NA,NA
